path,category,size_bytes,loc,auth_flag,ai_flag,db_flag,payment_flag,purpose,exports,imports,core_logic,typescript_interfaces,side_effects,lifecycle,internal_dependencies,used_by_other_files,ui_rendering_details,code_quality_notes
.gitignore,project-file,1441,118,false,false,true,true,# See https://help.github.com/articles/ignoring-files/ for more about ignoring files.,none-detected,none-detected,module utilities,none-detected,no,n/a,none-detected,n/a,n/a,n/a
.python-version,project-file,8,0,false,false,false,false,,none-detected,none-detected,n/a,none-detected,n/a,n/a,none-detected,n/a,n/a,n/a
.vscode/settings.json,project-file,248,6,false,true,false,false,{,none-detected,none-detected,module utilities,none-detected,no,n/a,none-detected,n/a,n/a,n/a
DOCUMENTATION.md,documentation,78365,1719,true,true,true,true,# FluenzyAI — Comprehensive Production-Ready Documentation,none-detected,none-detected,module utilities,none-detected,yes,n/a,none-detected,n/a,n/a,n/a
LICENSE,project-file,22521,558,true,true,false,false,PROPRIETARY SOFTWARE LICENSE AGREEMENT,none-detected,none-detected,module utilities,none-detected,no,n/a,none-detected,n/a,n/a,n/a
Learn_English/.gitignore,learning-content,346,31,false,false,false,false,# Logs,none-detected,none-detected,module utilities,none-detected,no,n/a,none-detected,n/a,n/a,n/a
Learn_English/App.tsx,learning-content,4821,120,true,true,false,false,"import React, { useState } from 'react';",none-detected,react; react-router-dom; ./components/LandingPage; ./components/Dashboard; ./components/LearningPath; ./components/EnglishDashboard; ./components/HRDashboard; ./components/CompanyHRDashboard,React component rendering,none-detected,yes,n/a,none-detected,n/a,n/a,typed
Learn_English/components/CompanyHRDashboard.tsx,learning-content,23165,412,false,true,false,false,"""use client"";",none-detected,react; next/navigation; ../types; ../../src/contexts/ThemeContext,React component rendering,none-detected,no,n/a,none-detected,n/a,n/a,typed
Learn_English/components/CorporateVoicePractice.tsx,learning-content,92788,2304,true,true,false,false,"import React, { useState, useCallback, useRef, useEffect } from 'react';",none-detected,react; uuid; ../types,React component rendering,CorporateVoicePracticeProps; SectionScore; OverallScorecard,yes,n/a,none-detected,n/a,n/a,typed
Learn_English/components/Dashboard.tsx,learning-content,25867,505,false,true,false,false,"import React, { useState } from 'react';",none-detected,react; ../types,React component rendering,none-detected,no,n/a,none-detected,n/a,n/a,typed
Learn_English/components/EnglishDashboard.tsx,learning-content,9445,233,false,true,false,false,"import React, { useEffect, useState } from 'react';",none-detected,react; next/navigation; ../types,React component rendering,none-detected,yes,n/a,none-detected,n/a,n/a,typed
Learn_English/components/GDAgent.tsx,learning-content,39788,739,true,true,true,false,"""use client"";",none-detected,react; next/navigation; @google/genai; ../types,React component rendering,EvaluationResult,yes,n/a,none-detected,n/a,n/a,typed
Learn_English/components/GDCoachDashboard.tsx,learning-content,13453,301,false,true,false,false,"import React, { useEffect, useState } from 'react';",none-detected,react; next/navigation; ../types,React component rendering,none-detected,yes,n/a,none-detected,n/a,n/a,typed
Learn_English/components/GDDashboard.tsx,learning-content,21081,391,false,true,false,false,"import React, { useState } from 'react';",none-detected,react; next/navigation; ../types,React component rendering,none-detected,no,n/a,none-detected,n/a,n/a,typed
Learn_English/components/HRDashboard.tsx,learning-content,9281,217,false,true,false,false,"import React, { useEffect, useState } from 'react';",none-detected,react; next/navigation; ../types; @/contexts/ThemeContext,React component rendering,none-detected,yes,n/a,@/contexts/ThemeContext,n/a,n/a,typed
Learn_English/components/HistoryView.tsx,learning-content,16283,292,false,true,false,false,"import React, { useState, useEffect, useCallback } from 'react';",none-detected,react; next/navigation; ../types,React component rendering,none-detected,yes,n/a,none-detected,n/a,n/a,typed
Learn_English/components/LandingPage.tsx,learning-content,6731,129,true,true,false,false,import React from 'react';,none-detected,react; lucide-react,React component rendering,none-detected,no,n/a,none-detected,n/a,n/a,typed
Learn_English/components/LearningPath.tsx,learning-content,20228,471,false,true,false,false,"import React, { useEffect, useState } from 'react';",none-detected,react; next/navigation; framer-motion; ../types,React component rendering,none-detected,yes,n/a,none-detected,n/a,n/a,typed
Learn_English/components/ProfileSettings.tsx,learning-content,5480,122,false,true,false,false,import React from 'react';,none-detected,react; ../types; lucide-react,React component rendering,none-detected,no,n/a,none-detected,n/a,n/a,typed
Learn_English/components/TechnicalMastery.tsx,learning-content,7812,168,false,true,true,false,"""use client"";",none-detected,react; next/navigation,React component rendering,none-detected,yes,n/a,none-detected,n/a,n/a,typed
